method,seed,ce64,acc64,ce80,acc80,cache,repair_params,time
MHA,0,2.895468967301505,0.2386067690593855,2.905758142471313,0.2347395822405815,1.0,0,1.7725458145141602
GQA,0,2.931926897593907,0.2342354910714285,2.927886772155761,0.2251562505960464,0.5,0,1.6761937141418457
GQA+MLP,0,2.874216198921204,0.2392113102333886,2.865146112442017,0.2436458349227905,0.5,16576,2.2557387351989746
GQA+LFOM,0,2.6904434306280955,0.2982235870191029,2.709338545799256,0.3066666632890701,0.5,6368,4.445614576339722
MQA,0,2.899463721684047,0.2443266361951828,2.876215100288391,0.2457812488079071,0.25,0,1.4370667934417725
MQA+MLP,0,2.908397487231664,0.2354910714285714,2.8524099349975587,0.2464062511920929,0.25,16576,1.648132085800171
MQA+LFOM,0,2.705607754843576,0.2930152543953487,2.7327189683914184,0.2819791659712791,0.25,6368,4.346527576446533
MHA,1,2.890605858394078,0.2452101952263287,2.88803608417511,0.2421875014901161,1.0,0,1.700160264968872
GQA,1,2.8879115751811435,0.2409319207072258,2.902817726135254,0.2324479192495346,0.5,0,2.216132879257202
GQA+MLP,1,2.851107750620161,0.2468843034335545,2.8854186058044435,0.2362499997019767,0.5,16576,2.486274719238281
GQA+LFOM,1,2.751399976866586,0.2830171138048172,2.7908976078033447,0.2736458301544189,0.5,6368,5.199759244918823
MQA,1,2.914623805454799,0.2294456841690199,2.8899163722991945,0.2337499991059303,0.25,0,2.145707368850708
MQA+MLP,1,2.906056455203465,0.2415364586881228,2.867574667930603,0.2470312520861625,0.25,16576,8.46535348892212
MQA+LFOM,1,2.707977993147714,0.2866908524717603,2.718117475509644,0.2904166668653488,0.25,6368,11.038933038711548
MHA,2,2.867429648126875,0.2400483627404485,2.884893202781677,0.2362499997019767,1.0,0,1.637385368347168
GQA,2,2.8497428723743985,0.2452566953642027,2.8771476268768312,0.2378124997019767,0.5,0,1.6282689571380615
GQA+MLP,2,2.823445899145944,0.2535807266831398,2.9053245782852173,0.2352083340287208,0.5,16576,2.0366435050964355
GQA+LFOM,2,2.700759666306632,0.2895275290523256,2.732380485534668,0.2880729168653488,0.5,6368,4.376265287399292
MQA,2,2.900768143790109,0.235909597149917,2.8842740297317504,0.2417187497019767,0.25,0,1.8547251224517824
MQA+MLP,2,2.8942319665636336,0.2436755959476743,2.875155711174011,0.2446354150772094,0.25,16576,2.217758893966675
MQA+LFOM,2,2.7027091639382497,0.29296875,2.704272222518921,0.2953125,0.25,6368,4.711661815643311
MHA,3,2.8831019742148265,0.2345145067998341,2.8868297576904296,0.2360937505960464,1.0,0,1.5996005535125732
GQA,3,2.870376876422337,0.2406529028500829,2.891314435005188,0.2418750017881393,0.5,0,1.5219166278839111
GQA+MLP,3,2.9065050057002475,0.2442336327263287,2.879228925704956,0.2435937494039535,0.5,16576,2.1514296531677246
GQA+LFOM,3,2.7492989471980502,0.2821800602333886,2.749580240249634,0.2902083277702331,0.5,6368,4.486867904663086
MQA,3,2.938664964267186,0.2283761171357972,2.888706779479981,0.2416145831346511,0.25,0,1.538694143295288
MQA+MLP,3,2.912475756236485,0.2317243292927742,2.900671601295471,0.2313020840287208,0.25,16576,1.8239612579345703
MQA+LFOM,3,2.742751802716936,0.2735305045332227,2.714653301239013,0.2873958319425583,0.25,6368,3.915551424026489
MHA,4,2.902555687086923,0.232933409512043,2.8508560180664064,0.2477083355188369,1.0,0,1.569004774093628
GQA,4,2.876168438366481,0.2416294642857142,2.868836998939514,0.2425000011920929,0.5,0,1.5695655345916748
GQA+MLP,4,2.862533961023604,0.2438616050141198,2.902386116981506,0.2331770837306976,0.5,16576,2.035635232925415
GQA+LFOM,4,2.706433824130467,0.2905040936810629,2.702267599105835,0.2935416668653488,0.5,6368,4.4895100593566895
MQA,4,2.854822908129011,0.2456752242786543,2.911249542236328,0.2327083334326744,0.25,0,1.475189208984375
MQA+MLP,4,2.899680938039507,0.2392578114356313,2.897455620765686,0.2387500002980232,0.25,16576,1.898928165435791
MQA+LFOM,4,2.7491000720432828,0.2855747789144516,2.688779282569885,0.3004687547683716,0.25,6368,4.572315454483032
MHA,5,2.903005838394165,0.2439546127404485,2.9196909189224245,0.2392187505960464,1.0,0,1.9329674243927
GQA,5,2.936496240752084,0.2299107132213456,2.910181760787964,0.2381770849227905,0.5,0,1.7459328174591064
GQA+MLP,5,2.890801736286708,0.2368861585855484,2.9028926849365235,0.2355729162693023,0.5,16576,2.276206493377685
GQA+LFOM,5,2.705877866063799,0.28813243976661135,2.6855847597122193,0.29864583611488343,0.5,6368,4.5383501052856445
MQA,5,2.940136875425066,0.22381882688828877,2.9148706674575804,0.22822916954755784,0.25,0,1.7043852806091309
MQA+MLP,5,2.897162471498762,0.25027901998588015,2.891044855117798,0.24067708402872084,0.25,16576,1.7687418460845947
MQA+LFOM,5,2.6947776760373796,0.28817894629069735,2.7037633657455444,0.28802083283662794,0.25,6368,4.411062717437744
