seed,lfom,baseline,ce_win,acc_win,ce_delta,acc_delta
0,GQA_half_LFOM,GQA_half,True,True,-0.0678367853164672,0.010351562500000022
0,GQA_half_LFOM,GQA_half_MLP,True,True,-0.11146275997161847,0.017578125
0,GQA_half_LFOM,MHA_teacher,True,True,-0.052743983268737527,0.0009765625
0,MQA_quarter_LFOM,MQA_quarter,True,True,-0.060379767417907626,0.012988281250000011
0,MQA_quarter_LFOM,MQA_quarter_MLP,False,False,0.0438995361328125,-0.01777343749999999
0,MQA_quarter_LFOM,MHA_teacher,True,True,-0.03341145515441868,0.0029296875
1,GQA_half_LFOM,GQA_half,False,False,0.0360645055770874,-0.012792968750000022
1,GQA_half_LFOM,GQA_half_MLP,False,False,0.026062417030334517,-0.005761718750000033
1,GQA_half_LFOM,MHA_teacher,True,True,-0.041039896011352495,0.008886718749999967
1,MQA_quarter_LFOM,MQA_quarter,True,True,-0.005716466903686657,0.0087890625
1,MQA_quarter_LFOM,MQA_quarter_MLP,True,True,-0.005140137672424494,0.015234375000000022
1,MQA_quarter_LFOM,MHA_teacher,True,True,-0.03739047050476074,0.0205078125
2,GQA_half_LFOM,GQA_half,True,True,-0.0328822135925293,0.01025390625
2,GQA_half_LFOM,GQA_half_MLP,True,True,-0.0837083578109743,0.03564453125
2,GQA_half_LFOM,MHA_teacher,True,True,-0.09658052921295157,0.03378906250000002
2,MQA_quarter_LFOM,MQA_quarter,True,False,-0.00046792030334508183,-0.008593750000000011
2,MQA_quarter_LFOM,MQA_quarter_MLP,False,False,0.03769509792327863,-0.013378906249999989
2,MQA_quarter_LFOM,MHA_teacher,True,True,-0.03251636028289795,0.00537109375
3,GQA_half_LFOM,GQA_half,True,False,-0.014518713951110929,-0.0009765625
3,GQA_half_LFOM,GQA_half_MLP,False,False,0.020709443092346014,-0.008203124999999978
3,GQA_half_LFOM,MHA_teacher,True,False,-0.008572244644165172,-0.012500000000000011
3,MQA_quarter_LFOM,MQA_quarter,False,False,0.08980123996734646,-0.037304687500000044
3,MQA_quarter_LFOM,MQA_quarter_MLP,False,False,0.09502723217010511,-0.037109375
3,MQA_quarter_LFOM,MHA_teacher,False,False,0.0930956840515138,-0.03994140625000003
4,GQA_half_LFOM,GQA_half,True,True,-0.006907415390014604,0.0038085937500000333
4,GQA_half_LFOM,GQA_half_MLP,True,True,-0.0196982383728026,0.006738281250000033
4,GQA_half_LFOM,MHA_teacher,True,False,-0.022596931457519398,-0.00048828125
4,MQA_quarter_LFOM,MQA_quarter,True,True,-0.07050952911376962,0.01835937500000001
4,MQA_quarter_LFOM,MQA_quarter_MLP,False,False,0.010948872566223233,-0.00146484375
4,MQA_quarter_LFOM,MHA_teacher,True,True,-0.025205302238464178,0.00146484375
