seed,metric,a,b,win,delta,a_val,b_val
0,ce64,GQA+LFOM,GQA+MLP,True,-0.1837727682931085,2.6904434306280955,2.874216198921204
0,ce64,MQA+LFOM,MQA+MLP,True,-0.20278973238808762,2.705607754843576,2.908397487231664
0,ce64,GQA+LFOM,GQA,True,-0.24148346696581147,2.6904434306280955,2.931926897593907
0,ce64,MQA+LFOM,MQA,True,-0.1938559668404709,2.705607754843576,2.899463721684047
0,ce64,MQA+LFOM,MHA,True,-0.18986121245792864,2.705607754843576,2.895468967301505
0,ce64,GQA+LFOM,MHA,True,-0.20502553667340928,2.6904434306280955,2.895468967301505
0,ce80,GQA+LFOM,GQA+MLP,True,-0.15580756664276096,2.709338545799256,2.865146112442017
0,ce80,MQA+LFOM,MQA+MLP,True,-0.11969096660614031,2.7327189683914184,2.8524099349975587
0,ce80,GQA+LFOM,GQA,True,-0.21854822635650528,2.709338545799256,2.927886772155761
0,ce80,MQA+LFOM,MQA,True,-0.14349613189697275,2.7327189683914184,2.876215100288391
0,ce80,MQA+LFOM,MHA,True,-0.17303917407989466,2.7327189683914184,2.905758142471313
0,ce80,GQA+LFOM,MHA,True,-0.19641959667205722,2.709338545799256,2.905758142471313
0,acc64,GQA+LFOM,GQA+MLP,True,0.0590122767857143,0.2982235870191029,0.2392113102333886
0,acc64,MQA+LFOM,MQA+MLP,True,0.057524182966777304,0.2930152543953487,0.2354910714285714
0,acc64,GQA+LFOM,GQA,True,0.0639880959476744,0.2982235870191029,0.2342354910714285
0,acc64,MQA+LFOM,MQA,True,0.0486886182001659,0.2930152543953487,0.2443266361951828
0,acc64,MQA+LFOM,MHA,True,0.05440848533596321,0.2930152543953487,0.2386067690593855
0,acc64,GQA+LFOM,MHA,True,0.059616817959717405,0.2982235870191029,0.2386067690593855
0,acc80,GQA+LFOM,GQA+MLP,True,0.06302082836627962,0.3066666632890701,0.2436458349227905
0,acc80,MQA+LFOM,MQA+MLP,True,0.0355729147791862,0.2819791659712791,0.2464062511920929
0,acc80,GQA+LFOM,GQA,True,0.0815104126930237,0.3066666632890701,0.2251562505960464
0,acc80,MQA+LFOM,MQA,True,0.03619791716337198,0.2819791659712791,0.2457812488079071
0,acc80,MQA+LFOM,MHA,True,0.04723958373069759,0.2819791659712791,0.2347395822405815
0,acc80,GQA+LFOM,MHA,True,0.0719270810484886,0.3066666632890701,0.2347395822405815
1,ce64,GQA+LFOM,GQA+MLP,True,-0.09970777375357498,2.751399976866586,2.851107750620161
1,ce64,MQA+LFOM,MQA+MLP,True,-0.1980784620557512,2.707977993147714,2.906056455203465
1,ce64,GQA+LFOM,GQA,True,-0.1365115983145575,2.751399976866586,2.8879115751811435
1,ce64,MQA+LFOM,MQA,True,-0.20664581230708512,2.707977993147714,2.914623805454799
1,ce64,MQA+LFOM,MHA,True,-0.18262786524636399,2.707977993147714,2.890605858394078
1,ce64,GQA+LFOM,MHA,True,-0.13920588152749191,2.751399976866586,2.890605858394078
1,ce80,GQA+LFOM,GQA+MLP,True,-0.09452099800109881,2.7908976078033447,2.8854186058044435
1,ce80,MQA+LFOM,MQA+MLP,True,-0.14945719242095912,2.718117475509644,2.867574667930603
1,ce80,GQA+LFOM,GQA,True,-0.11192011833190918,2.7908976078033447,2.902817726135254
1,ce80,MQA+LFOM,MQA,True,-0.17179889678955051,2.718117475509644,2.8899163722991945
1,ce80,MQA+LFOM,MHA,True,-0.16991860866546604,2.718117475509644,2.88803608417511
1,ce80,GQA+LFOM,MHA,True,-0.09713847637176531,2.7908976078033447,2.88803608417511
1,acc64,GQA+LFOM,GQA+MLP,True,0.0361328103712627,0.2830171138048172,0.2468843034335545
1,acc64,MQA+LFOM,MQA+MLP,True,0.0451543937836375,0.2866908524717603,0.2415364586881228
1,acc64,GQA+LFOM,GQA,True,0.0420851930975914,0.2830171138048172,0.2409319207072258
1,acc64,MQA+LFOM,MQA,True,0.0572451683027404,0.2866908524717603,0.2294456841690199
1,acc64,MQA+LFOM,MHA,True,0.041480657245431596,0.2866908524717603,0.2452101952263287
1,acc64,GQA+LFOM,MHA,True,0.0378069185784885,0.2830171138048172,0.2452101952263287
1,acc80,GQA+LFOM,GQA+MLP,True,0.037395830452442214,0.2736458301544189,0.2362499997019767
1,acc80,MQA+LFOM,MQA+MLP,True,0.04338541477918628,0.2904166668653488,0.2470312520861625
1,acc80,GQA+LFOM,GQA,True,0.04119791090488431,0.2736458301544189,0.2324479192495346
1,acc80,MQA+LFOM,MQA,True,0.056666667759418476,0.2904166668653488,0.2337499991059303
1,acc80,MQA+LFOM,MHA,True,0.04822916537523267,0.2904166668653488,0.2421875014901161
1,acc80,GQA+LFOM,MHA,True,0.03145832866430279,0.2736458301544189,0.2421875014901161
2,ce64,GQA+LFOM,GQA+MLP,True,-0.12268623283931213,2.700759666306632,2.823445899145944
2,ce64,MQA+LFOM,MQA+MLP,True,-0.1915228026253839,2.7027091639382497,2.8942319665636336
2,ce64,GQA+LFOM,GQA,True,-0.14898320606776672,2.700759666306632,2.8497428723743985
2,ce64,MQA+LFOM,MQA,True,-0.19805897985185927,2.7027091639382497,2.900768143790109
2,ce64,MQA+LFOM,MHA,True,-0.16472048418862517,2.7027091639382497,2.867429648126875
2,ce64,GQA+LFOM,MHA,True,-0.16666998182024306,2.700759666306632,2.867429648126875
2,ce80,GQA+LFOM,GQA+MLP,True,-0.17294409275054923,2.732380485534668,2.9053245782852173
2,ce80,MQA+LFOM,MQA+MLP,True,-0.17088348865509007,2.704272222518921,2.875155711174011
2,ce80,GQA+LFOM,GQA,True,-0.14476714134216317,2.732380485534668,2.8771476268768312
2,ce80,MQA+LFOM,MQA,True,-0.18000180721282932,2.704272222518921,2.8842740297317504
2,ce80,MQA+LFOM,MHA,True,-0.18062098026275608,2.704272222518921,2.884893202781677
2,ce80,GQA+LFOM,MHA,True,-0.1525127172470091,2.732380485534668,2.884893202781677
2,acc64,GQA+LFOM,GQA+MLP,True,0.03594680236918579,0.2895275290523256,0.2535807266831398
2,acc64,MQA+LFOM,MQA+MLP,True,0.049293154052325705,0.29296875,0.2436755959476743
2,acc64,GQA+LFOM,GQA,True,0.0442708336881229,0.2895275290523256,0.2452566953642027
2,acc64,MQA+LFOM,MQA,True,0.057059152850083006,0.29296875,0.235909597149917
2,acc64,MQA+LFOM,MHA,True,0.052920387259551505,0.29296875,0.2400483627404485
2,acc64,GQA+LFOM,MHA,True,0.0494791663118771,0.2895275290523256,0.2400483627404485
2,acc80,GQA+LFOM,GQA+MLP,True,0.05286458283662801,0.2880729168653488,0.2352083340287208
2,acc80,MQA+LFOM,MQA+MLP,True,0.05067708492279058,0.2953125,0.2446354150772094
2,acc80,GQA+LFOM,GQA,True,0.050260417163372095,0.2880729168653488,0.2378124997019767
2,acc80,MQA+LFOM,MQA,True,0.05359375029802327,0.2953125,0.2417187497019767
2,acc80,MQA+LFOM,MHA,True,0.05906250029802329,0.2953125,0.2362499997019767
2,acc80,GQA+LFOM,MHA,True,0.05182291716337212,0.2880729168653488,0.2362499997019767
3,ce64,GQA+LFOM,GQA+MLP,True,-0.15720605850219727,2.7492989471980502,2.9065050057002475
3,ce64,MQA+LFOM,MQA+MLP,True,-0.16972395351954894,2.742751802716936,2.912475756236485
3,ce64,GQA+LFOM,GQA,True,-0.12107792922428695,2.7492989471980502,2.870376876422337
3,ce64,MQA+LFOM,MQA,True,-0.19591316155024963,2.742751802716936,2.938664964267186
3,ce64,MQA+LFOM,MHA,True,-0.1403501714978903,2.742751802716936,2.8831019742148265
3,ce64,GQA+LFOM,MHA,True,-0.13380302701677627,2.7492989471980502,2.8831019742148265
3,ce80,GQA+LFOM,GQA+MLP,True,-0.12964868545532227,2.749580240249634,2.879228925704956
3,ce80,MQA+LFOM,MQA+MLP,True,-0.18601830005645814,2.714653301239013,2.900671601295471
3,ce80,GQA+LFOM,GQA,True,-0.14173419475555393,2.749580240249634,2.891314435005188
3,ce80,MQA+LFOM,MQA,True,-0.17405347824096795,2.714653301239013,2.888706779479981
3,ce80,MQA+LFOM,MHA,True,-0.17217645645141655,2.714653301239013,2.8868297576904296
3,ce80,GQA+LFOM,MHA,True,-0.13724951744079572,2.749580240249634,2.8868297576904296
3,acc64,GQA+LFOM,GQA+MLP,True,0.0379464275070599,0.2821800602333886,0.2442336327263287
3,acc64,MQA+LFOM,MQA+MLP,True,0.041806175240448495,0.2735305045332227,0.2317243292927742
3,acc64,GQA+LFOM,GQA,True,0.0415271573833057,0.2821800602333886,0.2406529028500829
3,acc64,MQA+LFOM,MQA,True,0.0451543873974255,0.2735305045332227,0.2283761171357972
3,acc64,MQA+LFOM,MHA,True,0.0390159977333886,0.2735305045332227,0.2345145067998341
3,acc64,GQA+LFOM,MHA,True,0.0476655534335545,0.2821800602333886,0.2345145067998341
3,acc80,GQA+LFOM,GQA+MLP,True,0.04661457836627958,0.2902083277702331,0.2435937494039535
3,acc80,MQA+LFOM,MQA+MLP,True,0.056093747913837505,0.2873958319425583,0.2313020840287208
3,acc80,GQA+LFOM,GQA,True,0.04833332598209378,0.2902083277702331,0.2418750017881393
3,acc80,MQA+LFOM,MQA,True,0.04578124880790721,0.2873958319425583,0.2416145831346511
3,acc80,MQA+LFOM,MHA,True,0.0513020813465119,0.2873958319425583,0.2360937505960464
3,acc80,GQA+LFOM,MHA,True,0.05411457717418669,0.2902083277702331,0.2360937505960464
4,ce64,GQA+LFOM,GQA+MLP,True,-0.15610013689313673,2.706433824130467,2.862533961023604
4,ce64,MQA+LFOM,MQA+MLP,True,-0.15058086599622422,2.7491000720432828,2.899680938039507
4,ce64,GQA+LFOM,GQA,True,-0.1697346142360141,2.706433824130467,2.876168438366481
4,ce64,MQA+LFOM,MQA,True,-0.1057228360857283,2.7491000720432828,2.854822908129011
4,ce64,MQA+LFOM,MHA,True,-0.15345561504364014,2.7491000720432828,2.902555687086923
4,ce64,GQA+LFOM,MHA,True,-0.19612186295645584,2.706433824130467,2.902555687086923
4,ce80,GQA+LFOM,GQA+MLP,True,-0.20011851787567103,2.702267599105835,2.902386116981506
4,ce80,MQA+LFOM,MQA+MLP,True,-0.20867633819580078,2.688779282569885,2.897455620765686
4,ce80,GQA+LFOM,GQA,True,-0.16656939983367902,2.702267599105835,2.868836998939514
4,ce80,MQA+LFOM,MQA,True,-0.22247025966644296,2.688779282569885,2.911249542236328
4,ce80,MQA+LFOM,MHA,True,-0.16207673549652135,2.688779282569885,2.8508560180664064
4,ce80,GQA+LFOM,MHA,True,-0.1485884189605713,2.702267599105835,2.8508560180664064
4,acc64,GQA+LFOM,GQA+MLP,True,0.046642488666943094,0.2905040936810629,0.2438616050141198
4,acc64,MQA+LFOM,MQA+MLP,True,0.0463169674788203,0.2855747789144516,0.2392578114356313
4,acc64,GQA+LFOM,GQA,True,0.0488746293953487,0.2905040936810629,0.2416294642857142
4,acc64,MQA+LFOM,MQA,True,0.03989955463579731,0.2855747789144516,0.2456752242786543
4,acc64,MQA+LFOM,MHA,True,0.0526413694024086,0.2855747789144516,0.232933409512043
4,acc64,GQA+LFOM,MHA,True,0.05757068416901989,0.2905040936810629,0.232933409512043
4,acc80,GQA+LFOM,GQA+MLP,True,0.060364583134651234,0.2935416668653488,0.2331770837306976
4,acc80,MQA+LFOM,MQA+MLP,True,0.061718754470348386,0.3004687547683716,0.2387500002980232
4,acc80,GQA+LFOM,GQA,True,0.05104166567325594,0.2935416668653488,0.2425000011920929
4,acc80,MQA+LFOM,MQA,True,0.06776042133569718,0.3004687547683716,0.2327083334326744
4,acc80,MQA+LFOM,MHA,True,0.0527604192495347,0.3004687547683716,0.2477083355188369
4,acc80,GQA+LFOM,MHA,True,0.045833331346511935,0.2935416668653488,0.2477083355188369
5,ce64,GQA+LFOM,GQA+MLP,True,-0.1849238702229088,2.705877866063799,2.890801736286708
5,ce64,MQA+LFOM,MQA+MLP,True,-0.20238479546138244,2.6947776760373796,2.897162471498762
5,ce64,GQA+LFOM,GQA,True,-0.23061837468828505,2.705877866063799,2.936496240752084
5,ce64,MQA+LFOM,MQA,True,-0.24535919938768647,2.6947776760373796,2.940136875425066
5,ce64,MQA+LFOM,MHA,True,-0.20822816235678543,2.6947776760373796,2.903005838394165
5,ce64,GQA+LFOM,MHA,True,-0.19712797233036605,2.705877866063799,2.903005838394165
5,ce80,GQA+LFOM,GQA+MLP,True,-0.2173079252243042,2.6855847597122193,2.9028926849365235
5,ce80,MQA+LFOM,MQA+MLP,True,-0.18728148937225342,2.7037633657455444,2.891044855117798
5,ce80,GQA+LFOM,GQA,True,-0.22459700107574454,2.6855847597122193,2.910181760787964
5,ce80,MQA+LFOM,MQA,True,-0.21110730171203596,2.7037633657455444,2.9148706674575804
5,ce80,MQA+LFOM,MHA,True,-0.21592755317688006,2.7037633657455444,2.9196909189224245
5,ce80,GQA+LFOM,MHA,True,-0.23410615921020517,2.6855847597122193,2.9196909189224245
5,acc64,GQA+LFOM,GQA+MLP,True,0.05124628118106295,0.28813243976661135,0.2368861585855484
5,acc64,MQA+LFOM,MQA+MLP,True,0.0378999263048172,0.28817894629069735,0.25027901998588015
5,acc64,GQA+LFOM,GQA,True,0.05822172654526575,0.28813243976661135,0.2299107132213456
5,acc64,MQA+LFOM,MQA,True,0.06436011940240857,0.28817894629069735,0.22381882688828877
5,acc64,MQA+LFOM,MHA,True,0.04422433355024885,0.28817894629069735,0.2439546127404485
5,acc64,GQA+LFOM,MHA,True,0.04417782702616285,0.28813243976661135,0.2439546127404485
5,acc80,GQA+LFOM,GQA+MLP,True,0.06307291984558114,0.29864583611488343,0.2355729162693023
5,acc80,MQA+LFOM,MQA+MLP,True,0.04734374880790709,0.28802083283662794,0.24067708402872084
5,acc80,GQA+LFOM,GQA,True,0.06046875119209294,0.29864583611488343,0.2381770849227905
5,acc80,MQA+LFOM,MQA,True,0.059791663289070096,0.28802083283662794,0.22822916954755784
5,acc80,MQA+LFOM,MHA,True,0.04880208224058155,0.28802083283662794,0.2392187505960464
5,acc80,GQA+LFOM,MHA,True,0.05942708551883705,0.29864583611488343,0.2392187505960464
