metric,a,b,wins,n,mean_delta
acc64,GQA+LFOM,GQA,6,6,0.04982793934288481
acc64,GQA+LFOM,GQA+MLP,6,6,0.04448784781353812
acc64,GQA+LFOM,MHA,6,6,0.049386161246470044
acc64,MQA+LFOM,MHA,6,6,0.04744853842116539
acc64,MQA+LFOM,MQA,6,6,0.05206783346477012
acc64,MQA+LFOM,MQA+MLP,6,6,0.046332466637804416
acc80,GQA+LFOM,GQA,6,6,0.055468747268120455
acc80,GQA+LFOM,GQA+MLP,6,6,0.05388888716697696
acc80,GQA+LFOM,MHA,6,6,0.05243055348594986
acc80,MQA+LFOM,MHA,6,6,0.05123263870676362
acc80,MQA+LFOM,MQA,6,6,0.05329861144224803
acc80,MQA+LFOM,MQA+MLP,6,6,0.04913194427887601
ce64,GQA+LFOM,GQA,6,6,-0.1747348649161203
ce64,GQA+LFOM,GQA+MLP,6,6,-0.1507328067507064
ce64,GQA+LFOM,MHA,6,6,-0.17299237705412374
ce64,MQA+LFOM,MHA,6,6,-0.17320725179853894
ce64,MQA+LFOM,MQA,6,6,-0.19092599267051327
ce64,MQA+LFOM,MQA+MLP,6,6,-0.1858467686743964
ce80,GQA+LFOM,GQA,6,6,-0.1680226802825925
ce80,GQA+LFOM,GQA+MLP,6,6,-0.16172463099161774
ce80,GQA+LFOM,MHA,6,6,-0.16100248098373396
ce80,MQA+LFOM,MHA,6,6,-0.1789599180221558
ce80,MQA+LFOM,MQA,6,6,-0.18382131258646658
ce80,MQA+LFOM,MQA+MLP,6,6,-0.17033462921778364
