lfom,baseline,ce_wins,acc_wins,mean_ce_delta,mean_acc_delta
GQA_LFOM,GQA,2,2,-0.10816588401794447,0.017675781250000022
GQA_LFOM,GQA_MLP,2,2,-0.0313853681087497,0.010888671875000006
GQA_LFOM,MHA_LFOM,0,0,0.08866817951202377,-0.023461914062499978
GQA_LFOM,MHA_MLP,1,1,0.01228505969047533,-0.000244140625
GQA_LFOM,MHA_teacher,2,2,-0.027391988039016768,0.007495117187500011
GQA_LFOM,MQA,2,2,-0.2506410002708437,0.031835937499999994
GQA_LFOM,MQA_MLP,2,2,-0.09731916785240169,0.019238281250000017
MQA_LFOM,GQA,2,2,-0.1369780659675599,0.02666015625000001
MQA_LFOM,GQA_MLP,2,2,-0.060197550058365135,0.019873046874999994
MQA_LFOM,MHA_LFOM,0,0,0.059855997562408336,-0.014477539062499989
MQA_LFOM,MHA_MLP,2,1,-0.016527122259140103,0.008740234374999989
MQA_LFOM,MHA_teacher,2,2,-0.0562041699886322,0.0164794921875
MQA_LFOM,MQA,2,2,-0.2794531822204591,0.04082031249999998
MQA_LFOM,MQA_MLP,2,2,-0.12613134980201712,0.028222656250000006
