lfom,baseline,ce_wins,acc_wins,mean_ce_delta,mean_acc_delta
GQA_LFOM,GQA,3,3,-0.20323146661122649,0.04696614583333333
GQA_LFOM,GQA_MLP,3,3,-0.12044830481211337,0.03481770833333333
GQA_LFOM,MHA_teacher,3,3,-0.09115933577219641,0.024739583333333332
GQA_LFOM,MQA,3,3,-0.3417888784408569,0.07825520833333333
GQA_LFOM,MQA_MLP,3,3,-0.197058038711548,0.05006510416666667
MQA_LFOM,GQA,3,3,-0.19777547518412283,0.045442708333333325
MQA_LFOM,GQA_MLP,3,3,-0.1149923133850097,0.03329427083333333
MQA_LFOM,MHA_teacher,3,3,-0.08570334434509275,0.02321614583333333
MQA_LFOM,MQA,3,3,-0.33633288701375325,0.07673177083333332
MQA_LFOM,MQA_MLP,3,3,-0.19160204728444433,0.04854166666666667
